Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Gobo Size,Circuit Name,Circuit#,Cable,Data Cable,Mark,System,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,Scenery,Focus L/R,Focus U/D,Focus Note,US,DS,SR,SL,Top,Bot,Focus Status,Axis,Beam,VW Layer,VW Label Legend,VW Class,VW X Coordinate,VW Y Coordinate,VW Z Coordinate,VW Symbol Rotation,VW Focus Point,Order of Light within Position,Lightwright ID,Vectorworks UID,Symbol,On Light Plot,Universe,DMX#,Dimmer Phase,Position Order,Work Note Status,Device Type,Color Frame,"When, What, and Who Changed",Position & Unit#,Instrument Type & Accessory,Instrument Type & Load,Instrument Type & Accessory & Load,Circuit Name & Circuit#,Color & Gobo,Color Flags,DMX Qty,Instrument Type Weight
,(211),,7/1,,1,H1 Freedoms,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,3CF413:4D71:22:37:Jonat,,,Adding,7,1,,0,,Practical,,,#1,H1 Freedoms,H1 Freedoms,H1 Freedoms,,,,12,
,(212),,7/420,,2,H1 Freedoms,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,7844CD:4D77:22:3B:Jonat,,,Adding,7,420,,0,,Practical,,,#2,H1 Freedoms,H1 Freedoms,H1 Freedoms,,,,12,
,(221),101,1/101,LX1 (Fly4),1,ETC Source4 50deg,750w,,R371,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,580B89:4DC9:2C:7:Jonat,,,No,1,101,,1,,Light,,,LX1 (Fly4) #1,ETC Source4 50deg,ETC Source4 50deg 750w,ETC Source4 50deg 750w,,R371,,1,8.5 kg
,(51),85,2/1,LX1 (Fly4),2,Chauvet F915FC,260w,Barndoors,,,,,,,FP202-2,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,17A792:3348:3B:1:Jonat,,,Adding,2,1,,1,,Light,,10/10/2023 at 19:15 - DataCbl  by me,LX1 (Fly4) #2,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(139),86,1/86,LX1 (Fly4),3,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,EACA4:336C:3B:2E:Jonat,,,Adding,1,86,,1,,Light,,10/10/2023 at 19:15 - DataCbl  by me,LX1 (Fly4) #3,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(140),87,1/87,LX1 (Fly4),4,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,4,51A9B0:3375:3B:3A:Jonat,,,Adding,1,87,,1,,Light,,10/10/2023 at 19:15 - DataCbl  by me,LX1 (Fly4) #4,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(52),85,2/19,LX1 (Fly4),5,Chauvet F915FC,260w,Barndoors,,,,,,,FP202-2,,B,,-> 51,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,5,94B50D:3351:3B:7:Jonat,,,Adding,2,19,,1,,Light,,10/10/2023 at 19:31 - Usr2  by me,LX1 (Fly4) #5,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(141),88,1/88,LX1 (Fly4),6,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,6,16FF4E:337E:0:4:Jonat,,,Adding,1,88,,1,,Light,,10/10/2023 at 19:15 - DataCbl  by me,LX1 (Fly4) #6,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(53),85,2/37,LX1 (Fly4),7,Chauvet F915FC,260w,Barndoors,,,,,,,FP202-2,,B,,-> 51 -> 52,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,7,1A4199:335A:3B:E:Jonat,,,Adding,2,37,,1,,Light,,10/10/2023 at 19:31 - Usr2  by me,LX1 (Fly4) #7,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(142),89,1/89,LX1 (Fly4),8,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,8,61E60F:3387:0:8:Jonat,,,Adding,1,89,,1,,Light,,10/10/2023 at 14:24 - Usr3  by me,LX1 (Fly4) #8,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
